iter	RMSE
189	1641042.648
190	1640959.835
191	1640854.649
192	1640627.39
193	1640544.001
194	1640400.013
195	1640335.078
196	1640218.873
197	1640116.134
198	1640068.283
199	1639969.908
200	1639870.387
201	1639724.451
202	1639615.684
203	1639505.958
204	1639359.5
205	1639303.944
206	1639210.298
207	1639052.095
208	1638893.312
209	1638764.127
210	1638596.194
211	1638500.486
212	1638405.703
213	1638327.213
214	1638232.267
215	1638112.654
216	1637945.469
217	1637888.317
218	1637805.3
219	1637694.029
220	1637634.807
221	1637472.818
222	1637384.376
223	1637331.537
224	1637153.824
225	1637020.361
226	1636883.975
227	1636827.721
228	1636731.091
229	1636617.194
230	1636523.585
231	1636456.061
232	1636368.119
233	1636312.486
234	1636212.7
235	1636142.894
236	1636023.106
237	1635934.342
238	1635841.633
239	1635687.62
240	1635639.068
241	1635536.134
242	1635413.279
243	1635359.045
244	1635229.248
245	1635109.058
246	1634933.336
247	1634842.134
248	1634682.031
249	1634561.519
250	1634416.209
251	1634333.609
252	1634279.087
253	1634205.888
254	1634113.481
255	1633994.894
256	1633864.992
257	1633796.534
258	1633744.227
259	1633614.699
260	1633484.481
261	1633435.632
262	1633299.111
263	1633256.302
264	1633122.21
265	1633071.522
266	1632923.24
267	1632880.78
268	1632831.209
269	1632746.541
270	1632647.202
271	1632525.664
272	1632251.567
273	1631982.053
274	1631834.588
275	1631715.577
276	1631655.773
277	1631582.533
278	1631500.987
279	1631408.968
280	1631289.349
281	1631159.135
282	1630856.955
283	1630747.718
284	1630652.304
285	1630577.398
286	1630532.375
287	1630407.063
288	1630289.735
289	1630156.686
290	1629983.066
291	1629888.578
292	1629793.175
293	1629694.38
294	1629542.734
295	1629420.783
296	1629346.44
297	1629290.771
298	1629192.537
299	1629072.224
300	1628961.289
301	1628852.228
302	1628759.436
303	1628697.487
304	1628630.714
305	1628581.636
306	1628394.172
307	1628336.06
308	1628233.371
309	1628107.215
310	1628028.171
311	1627940.873
312	1627859.027
313	1627804.52
314	1627729.928
315	1627681.645
316	1627573.669
317	1627459.93
318	1627377.24
319	1627281.494
320	1627222.156
321	1627073.921
322	1626952.151
323	1626855.608
324	1626755.59
325	1626637.062
326	1626499.491
327	1626447.944
328	1626357.433
329	1626200.647
330	1626114.357
331	1626035.888
332	1625985.517
333	1625909.241
334	1625862.153
335	1625753.617
336	1625623.426
337	1625462.796
338	1625326.991
339	1625246.583
340	1625178.136
341	1625106.855
342	1625038.086
343	1625001.843
344	1624901.448
345	1624799.858
346	1624781.773
347	1624661.748
348	1624578.023
349	1624362.266
350	1624232.762
351	1624113.298
352	1623978.723
353	1623875.042
354	1623736.458
355	1623560.3
356	1623514.835
357	1623435.272
358	1623349.548
359	1623247.254
360	1623102.779
361	1623022.437
362	1622984.175
363	1622854.882
364	1622748.361
365	1622693.373
366	1622402.001
367	1622320.819
368	1622236.202
369	1622093.261
370	1621981.743
371	1621936.794
372	1621873.089
373	1621752.369
374	1621728.446
375	1621678.241
376	1621622.533
377	1621424.87
378	1621384.675
379	1621312.098
380	1621194.653
381	1620881.487
382	1620838.594
383	1620719.955
384	1620590.349
385	1620420.539
386	1620343.632
387	1620199.171
388	1620144.055
389	1620077.016
390	1620035.999
391	1619928.654
392	1619884.712
393	1619847.947
394	1619741.322
395	1619597.219
396	1619457.877
397	1619287.701
398	1619228.728
399	1619148.339
400	1619039.737
401	1618816.866
402	1618778.375
403	1618665.663
404	1618634.037
405	1618482.214
406	1618420.313
407	1618310.645
408	1618204.828
409	1618109.578
410	1618026.547
411	1617987.615
412	1617897.168
413	1617795.662
414	1617646.365
415	1617455.734
416	1617415.567
417	1617284.614
418	1617162.604
419	1617097.953
420	1617008.758
421	1616892.045
422	1616766.839
423	1616658.854
424	1616556.711
425	1616499.331
426	1616332.02
427	1616279.679
428	1616155.493
429	1616034.614
430	1615842.677
431	1615630.715
432	1615508.58
433	1615469.076
434	1615405.429
435	1615342.131
436	1615234.419
437	1615109.983
438	1615029.982
439	1614908.632
440	1614732.985
441	1614690.531
442	1614621.86
443	1614590.624
444	1614538.937
445	1614472.317
446	1614412.311
447	1614340.176
448	1614130.447
449	1614050.335
450	1613921.998
451	1613760.397
452	1613652.997
453	1613614.214
454	1613549.237
455	1613522.966
456	1613355.358
457	1613270.689
458	1613128.7
459	1612913.989
460	1612863.369
461	1612755.189
462	1612683.866
463	1612650.252
464	1612570.525
465	1612464.087
466	1612378.913
467	1612275.087
468	1612178.725
469	1612069.016
470	1612037.1
471	1611970.368
472	1611730.674
473	1611639.62
474	1611628.536
475	1611521.976
476	1611413.072
477	1611234.009
478	1611101.556
479	1611025.37
480	1610976.76
481	1610798.691
482	1610709.172
483	1610616.29
484	1610438.781
485	1610350.738
486	1610278.152
487	1610234.49
488	1610162.928
489	1610049.492
490	1609959.542
491	1609912.833
492	1609884.756
493	1609658.821
494	1609591.436
495	1609485.687
496	1609367.733
497	1609309.383
498	1609230.188
499	1609104.852
500	1609008.938
501	1608927.826
502	1608846.437
503	1608809.663
504	1608739.417
505	1608704.371
506	1608501.655
507	1608364.294
508	1608193.118
509	1608081.66
510	1607989.799
511	1607951.384
512	1607742.491
513	1607679.71
514	1607576.714
515	1607455.138
516	1607379.58
517	1607230.828
518	1607113.456
519	1607039.152
520	1606848.845
521	1606782.67
522	1606664.825
523	1606622.862
524	1606533.577
525	1606504.121
526	1606409.569
527	1606342.82
528	1606256.076
529	1606087.376
530	1606023.598
531	1605962.469
532	1605883.061
533	1605784.196
534	1605691.888
535	1605660.719
536	1605538.763
537	1605442.991
538	1605328.2
539	1605163.175
540	1605079.172
541	1604936.151
542	1604872.451
543	1604786.064
544	1604696.962
545	1604605.338
546	1604551.008
547	1604451.726
548	1604377.544
549	1604246.984
550	1604155.481
551	1604137.692
552	1604094.447
553	1604023.953
554	1603986.37
555	1603882.55
556	1603814.539
557	1603734.064
558	1603635.125
559	1603554.96
560	1603368.881
561	1603289.495
562	1603151.808
563	1603124.11
564	1602944.086
565	1602885.589
566	1602832.882
567	1602719.151
568	1602585.693
569	1602395.351
570	1602338.974
571	1602163.472
572	1602089.475
573	1602057.12
574	1601945.752
575	1601869.188
576	1601778.863
577	1601721.163
578	1601528.829
579	1601386.69
580	1601350.099
581	1601326.923
582	1601212.231
583	1601107.17
584	1601025.819
585	1600975.573
586	1600914.628
587	1600780.235
588	1600714.281
589	1600615.087
590	1600502.67
591	1600399.787
592	1600245.07
593	1600132.683
594	1600090.911
595	1600028.205
596	1599910.241
597	1599787.993
598	1599672.708
599	1599606.845
600	1599570.06
601	1599454.735
602	1599392.554
603	1599319.218
604	1599217.905
605	1599092.359
606	1599016.719
607	1598976.063
608	1598830.772
609	1598713.195
610	1598607.477
611	1598539.889
612	1598453.816
613	1598316.312
614	1598234.429
615	1598201.988
616	1598009.452
617	1597949.312
618	1597865.884
619	1597704.358
620	1597664.553
621	1597517.44
622	1597435.634
623	1597314.206
624	1597286.538
625	1597110.165
626	1597026.615
627	1596918.155
628	1596742.903
629	1596674.825
630	1596584.943
631	1596402.504
632	1596359.64
633	1596271.186
634	1596153.199
635	1596030.91
636	1595990.959
637	1595925.696
638	1595822.359
639	1595763.876
640	1595596.097
641	1595488.804
642	1595326.686
643	1595288.221
644	1595160.29
645	1594993.896
646	1594967.045
647	1594882.703
648	1594854.153
649	1594707.292
650	1594607.544
651	1594523.668
652	1594453.278
653	1594392.671
654	1594256.102
655	1594107.412
656	1594056.356
657	1593952.097
658	1593851.008
659	1593704.083
660	1593682.501
661	1593526.588
662	1593329.492
663	1593253.995
664	1593195.222
665	1593154.628
666	1593122.392
667	1592942.488
668	1592873.132
669	1592818.009
670	1592702.99
671	1592675.47
672	1592621.912
673	1592504.438
674	1592284.584
675	1592257.989
676	1592084.34
677	1592026.447
678	1591936.495
679	1591802.322
680	1591586.257
681	1591455.61
682	1591324.971
683	1591223.2
684	1591179.732
685	1591045.867
686	1590903.732
687	1590840.019
688	1590741.771
689	1590649.262
690	1590569.712
691	1590527.812
692	1590451.93
693	1590366.592
694	1590316.043
695	1590228.651
696	1590153.464
697	1590084.225
698	1590003.28
699	1589986.251
700	1589890.902
701	1589796.269
702	1589688.698
703	1589602.078
704	1589383.338
705	1589257.77
706	1589156.56
707	1589094.01
708	1588976.843
709	1588873.839
710	1588741.084
711	1588608.846
712	1588498.29
713	1588430.666
714	1588341.065
715	1588334.455
716	1588157.979
717	1588018.395
718	1587982.816
719	1587907.954
720	1587819.297
721	1587760.282
722	1587701.204
723	1587640.11
724	1587602.252
725	1587522.927
726	1587470.277
727	1587368.022
728	1587255.201
729	1587167.177
730	1587100.292
731	1587024.77
732	1586934.53
733	1586896.856
734	1586869.227
735	1586824.587
736	1586751.659
737	1586667.001
738	1586568.071
739	1586526.514
740	1586453.208
741	1586416.819
742	1586336.292
743	1586211.794
744	1586106.476
745	1585989.175
746	1585901.817
747	1585702.994
748	1585640.107
749	1585565.401
750	1585544.051
751	1585467.991
752	1585286.364
753	1585208.698
754	1585196.346
755	1585073.65
756	1585053.482
757	1585024.128
758	1584982.491
759	1584875.785
760	1584823.682
761	1584706.816
762	1584673.756
763	1584579.61
764	1584480.905
765	1584453.861
766	1584401.137
767	1584234.658
768	1584141.174
769	1584068.529
770	1583853.273
771	1583772.559
772	1583639.638
773	1583528.198
774	1583385.03
775	1583294.128
776	1583250.646
777	1583107.904
778	1583003.292
779	1582905.127
780	1582777.355
781	1582692.378
782	1582613.998
783	1582561.546
784	1582522.82
785	1582393.897
786	1582309.039
787	1582255.111
788	1582184.034
789	1582055.415
790	1581980.266
791	1581931.992
792	1581883.687
793	1581785.191
794	1581719.157
795	1581675.047
796	1581544.656
797	1581383.708
798	1581354.669
799	1581342.358
800	1581257.973
801	1581095.352
802	1581024.573
803	1580964.177
804	1580828.73
805	1580768.051
806	1580707.724
807	1580633.918
808	1580569.381
809	1580453.725
810	1580335.28
811	1580141.108
812	1580046.148
813	1579903.372
814	1579876.189
815	1579839.789
816	1579736.083
817	1579701.633
818	1579668.234
819	1579629.974
820	1579596.233
821	1579580.724
822	1579519.508
823	1579465.338
824	1579386.105
825	1579305.807
826	1579240.717
827	1579142.562
828	1578914.209
829	1578817.831
830	1578791.353
831	1578701.282
832	1578676.799
833	1578561.135
834	1578536.752
835	1578414.389
836	1578333.941
837	1578253.902
838	1578162.898
839	1578073.123
840	1577982.835
841	1577947.883
842	1577698.089
843	1577615.331
844	1577441.458
845	1577289.044
846	1577243.532
847	1577150.098
848	1577078.482
849	1577019.195
850	1576982.061
851	1576903.789
852	1576734.849
853	1576709.108
854	1576597.132
855	1576495.779
856	1576449.178
857	1576403.899
858	1576274.684
859	1576113.655
860	1576083.966
861	1575988.581
862	1575899.41
863	1575864.512
864	1575753.446
865	1575670.362
866	1575406.055
867	1575318.852
868	1575289.683
869	1575222.591
870	1575083.273
871	1575041.081
872	1575008.112
873	1574957.868
874	1574899.888
875	1574746.781
876	1574712.462
877	1574638.372
878	1574607.116
879	1574546.935
880	1574445.73
881	1574381.024
882	1574316.615
883	1574179.709
884	1574073.993
885	1574027.303
886	1573965.989
887	1573897.215
888	1573715.795
889	1573608.173
890	1573541.615
891	1573434.223
892	1573361.516
893	1573208.626
894	1573035.537
895	1572966.069
896	1572877.486
897	1572791.371
898	1572707.21
899	1572537.297
900	1572505.371
901	1572435.832
902	1572318.038
903	1572301.21
904	1572208.602
905	1572100.57
906	1572028.002
907	1572007.922
908	1571900.856
909	1571840.892
910	1571788.211
911	1571729.476
912	1571584.732
913	1571400.606
914	1571301.824
915	1571249.043
916	1571216.127
917	1571168.008
918	1571076.173
919	1570957.005
920	1570833.209
921	1570706.043
922	1570615.738
923	1570572.346
924	1570509.292
925	1570403.88
926	1570366.917
927	1570175.972
928	1570114.094
929	1569968.165
930	1569909.688
931	1569847.055
932	1569763.183
933	1569720.161
934	1569656.641
935	1569524.97
936	1569482.688
937	1569349.82
938	1569266.062
939	1569194.102
940	1569132.674
941	1569045.571
942	1568979.15
943	1568938.788
944	1568789.009
945	1568674.635
946	1568541.587
947	1568465.019
948	1568391.779
949	1568314.343
950	1568276.57
951	1568180.12
952	1568102.124
953	1568035.486
954	1567890.929
955	1567821.517
956	1567713.569
957	1567637.816
958	1567551.577
959	1567415.432
960	1567319.581
961	1567160.195
962	1567036.433
963	1566959.791
964	1566842.001
965	1566734.775
966	1566623.547
967	1566568.103
968	1566505.427
969	1566413.405
970	1566352.061
971	1566215.484
972	1566168.363
973	1566130.455
974	1566110.595
975	1566049.799
976	1566012.481
977	1565945.607
978	1565830.113
979	1565743.732
980	1565622.665
981	1565526.893
982	1565411.367
983	1565297.085
984	1565229.501
985	1565217.185
986	1565119.857
987	1565035.707
988	1564958.692
989	1564936.579
990	1564834.971
991	1564803.664
992	1564728.032
993	1564704.819
994	1564650.709
995	1564610.518
996	1564559.004
997	1564483.953
998	1564406.215
999	1564318.995
